DATE,vwretd,totval
2020-01-02,0.007412,41464750500.00
2020-01-03,-0.005828,41221075000.00
2020-01-06,0.003269,41345982500.00
2020-01-07,-0.002147,41255458200.00
2020-01-08,0.004028,41421671900.00
2020-01-09,0.005831,41655075000.00
2020-01-10,-0.002578,41547054700.00
2020-01-13,0.007077,41841446000.00
2020-01-14,-0.000394,41825860000.00
2020-01-15,0.001938,41904637300.00
2020-01-16,0.008389,42254639300.00
2020-01-17,0.002523,42358160600.00
2020-01-21,-0.003027,42226081300.00
2020-01-22,0.000376,42240826800.00
2020-01-23,0.001000,42279515100.00
2020-01-24,-0.008836,41886452600.00
2020-01-27,-0.014872,41262745500.00
2020-01-28,0.009614,41658005100.00
2020-01-29,-0.001160,41612026500.00
2020-01-30,0.002780,41722187500.00
2020-01-31,-0.016642,41059766800.00
2020-02-03,0.007562,41359585800.00
2020-02-04,0.014853,41965021700.00
2020-02-05,0.009336,42356790400.00
2020-02-06,0.002601,42474103800.00
2020-02-07,-0.005527,42233310000.00
2020-02-10,0.006756,42515778600.00
2020-02-11,0.003402,42658972800.00
2020-02-12,0.006406,42932277900.00
2020-02-13,-0.000773,42892967300.00
2020-02-14,0.001660,42960048000.00
2020-02-18,-0.001944,42876755700.00
2020-02-19,0.005179,43094707300.00
2020-02-20,-0.002604,42980278900.00
2020-02-21,-0.009789,42558943500.00
2020-02-24,-0.031760,41203123100.00
2020-02-25,-0.029476,39988142700.00
2020-02-26,-0.005395,39775014500.00
2020-02-27,-0.040987,38137531800.00
2020-02-28,-0.008552,37777535300.00
2020-03-02,0.040304,39293325600.00
2020-03-03,-0.024635,38329587300.00
2020-03-04,0.037552,39769249400.00
2020-03-05,-0.031529,38508976900.00
2020-03-06,-0.017785,37824987300.00
2020-03-09,-0.079317,34812525900.00
2020-03-10,0.044398,36360737600.00
2020-03-11,-0.049958,34538712500.00
2020-03-12,-0.096841,31187710600.00
2020-03-13,0.085502,33838491100.00
2020-03-16,-0.118168,29835064900.00
2020-03-17,0.053074,31417358200.00
2020-03-18,-0.059610,29541735600.00
2020-03-19,0.014319,29961050300.00
2020-03-20,-0.037156,28842861000.00
2020-03-23,-0.026878,28065017100.00
2020-03-24,0.091556,30630816000.00
2020-03-25,0.016379,31129383300.00
2020-03-26,0.057470,32914277400.00
2020-03-27,-0.033038,31804412300.00
2020-03-30,0.029038,32713446100.00
2020-03-31,-0.012277,32333521600.00
2020-04-01,-0.045015,30874144600.00
2020-04-02,0.019501,31470334500.00
2020-04-03,-0.015754,30941290400.00
2020-04-06,0.067894,33042241800.00
