secid,date,low,high,open,close,cfadj
108321,2020-01-02,236.72,239.91,238.75,239.91,12
108321,2020-01-03,234.1,237.83,235.1,236.07,12
108321,2020-01-06,231.27,237.27,232.32,237.06,12
108321,2020-01-07,236.39,241.77,238.2,239.93,12
108321,2020-01-08,238.149,242.04,239.76,240.38,12
108321,2020-01-09,240.855,245.9297,243.85,243.02,12
108321,2020-01-10,243.75,248.55,247.33,244.32,12
108321,2020-01-13,246.75,252.9884,247.66,251.98,12
108321,2020-01-14,246.75,251.28,250.26,247.28,12
108321,2020-01-15,244.53,248.6891,247.79,245.57,12
108321,2020-01-16,246.775,249.17,247.72,248.93,12
108321,2020-01-17,247.37,250,249.7,249.28,12
108321,2020-01-21,246.5703,249.29,247.805,247.94,12
108321,2020-01-22,249,253.59,249.76,250.05,12
108321,2020-01-23,248.15,253.2,251.72,252.86,12
108321,2020-01-24,248.3,259.5,257.5,250.48,12
108321,2020-01-27,232.23,242.25,238.24,240.2,12
108321,2020-01-28,240.7143,249.27,242.85,247.97,12
108321,2020-01-29,243.94,248.84,247.39,245.54,12
108321,2020-01-30,239.4,246.35,241.61,245.81,12
108321,2020-01-31,234.75,244.45,243.97,236.43,12
108321,2020-02-03,235.45,241.1111,235.7,240.33,12
108321,2020-02-04,244.02,247.9,246.03,247.13,12
108321,2020-02-05,247.41,252.4,251.99,250.76,12
108321,2020-02-06,248.88,254.25,252.14,254.245,12
108321,2020-02-07,250.572,253.53,252.64,251.59,12
108321,2020-02-10,252.3,263,252.5,262.97,12
108321,2020-02-11,264.83,272.5,267.32,267.89,12
108321,2020-02-12,268.4474,272.8,270.01,272.54,12
108321,2020-02-13,269.11,273.48,270.21,270.78,12
108321,2020-02-14,286,294.97,287.26,289.79,12
108321,2020-02-18,284.86,297.31,285.6435,296.57,12
108321,2020-02-19,301.4856,315.41,301.49,314.7,12
108321,2020-02-20,296.35,316.32,312.765,308.7,12
108321,2020-02-21,290.66,305.2,304.19,294.07,12
108321,2020-02-24,268,281.8723,270.19,273.28,12
108321,2020-02-25,257.96,278.79,276.3035,262.05,12
108321,2020-02-26,262,275.45,262.06,267.65,12
108321,2020-02-27,248.89,267,254.9,252.6,12
108321,2020-02-28,241.79,272.46,242.455,270.07,12
108321,2020-03-02,261,277.59,276.9,276.43,12
108321,2020-03-03,262.4601,281.07,278.6665,265.89,12
108321,2020-03-04,267.2,284.89,270.2,284.51,12
108321,2020-03-05,271.5,283.2,276.5,273.29,12
108321,2020-03-06,258,268.39,266.08,266.04,12
108321,2020-03-09,238.18,259.4,239.9,245.44,12
108321,2020-03-10,245.99,261.08,256.54,261.08,12
108321,2020-03-11,242.57,256.6,255.455,246.47,12
108321,2020-03-12,215.8,236.119,225.46,216.31,12
108321,2020-03-13,219.61,241.02,230.5,240.84,12
108321,2020-03-16,194,226.1,212.41,196.4,12
108321,2020-03-17,191,220.86,200.91,217.27,12
108321,2020-03-18,180.6807,209.94,200.095,202.82,12
108321,2020-03-19,193.39,216.73,201.96,212.97,12
108321,2020-03-20,205.13,230.32,219,205.75,12
108321,2020-03-23,198.52,216.48,205.71,212.69,12
108321,2020-03-24,228.05,252.66,229,249.18,12
108321,2020-03-25,243.66,261.82,253.8,245.62,12
108321,2020-03-26,250,262.22,253.94,257.24,12
108321,2020-03-27,248.68,263.1177,250,252.73,12
108321,2020-03-30,253.59,265.96,255.36,265.59,12
108321,2020-03-31,257.75,275.3999,267.2,263.6,12
108321,2020-04-01,241.28,261.53,255.65,243.07,12
108321,2020-04-02,242.31,256,244.24,255.47,12
108321,2020-04-03,238.39,255.63,253.96,243.91,12
108321,2020-04-06,252.93,269.88,255.24,268.4,12
108321,2020-04-07,257.3,278.25,277.3,259.03,12
108321,2020-04-08,260.6,267.95,263.41,266.95,12
108321,2020-04-09,260.42,272.92,272,262.95,12
108321,2020-04-13,257,270.2,260.55,269.85,12
108321,2020-04-14,273.8893,285.32,275,283.95,12
108321,2020-04-15,275.38,284.1671,277.2,280.84,12
108321,2020-04-16,286.55,299,287.08,294.7,12
108321,2020-04-17,286.94,298.86,298,292.32,12
108321,2020-04-20,285.27,293.5,287.24,287.05,12
108321,2020-04-21,267.11,284.77,282.31,269.51,12
108321,2020-04-22,275.4,287.87,277.23,286.15,12
108321,2020-04-23,283,293.1375,287.84,284.01,12
108321,2020-04-24,280.6,289.67,283.6,289.59,12
108321,2020-04-27,294,303.5,294.99,297.08,12
108321,2020-04-28,291.14,304.2,303,291.36,12
108321,2020-04-29,293.75,300.58,296.77,298.46,12
108321,2020-04-30,291.72,298.46,296.2926,292.28,12
108321,2020-05-01,280.8432,288.9,284.35,282.78,12
108321,2020-05-04,280.88,291.84,280.88,291.285,12
108321,2020-05-05,291.29,300.27,295.47,293.74,12
108321,2020-05-06,295.41,302,296.93,297.79,12
108321,2020-05-07,301.323,307.41,303.38,304.87,12
108321,2020-05-08,306.39,312.75,307.75,312.5,12
108321,2020-05-11,311.15,324.5,312.3,322.62,12
108321,2020-05-12,311.71,326.9,324.94,312.1,12
108321,2020-05-13,303.79,323.14,316.7,311.2,12
108321,2020-05-14,307.5,321.44,313.665,321.22,12
108321,2020-05-15,314.96,340.02,315.59,339.63,12
108321,2020-05-18,347.2201,356.66,350.42,350.01,12
108321,2020-05-19,350.51,363.5,351.61,352.22,12
108321,2020-05-20,355.55,361.72,359.64,358.8,12
108321,2020-05-21,349.5,362.0962,362.06,351.01,12
108321,2020-05-22,348.53,363.72,353.01,361.05,12
108321,2020-05-26,346.88,367.27,366.27,348.71,12
108321,2020-05-27,319.87,345.31,345,341.01,12
108321,2020-05-28,335.17,350.42,336.49,339.48,12
108321,2020-05-29,339.4,355.02,342.18,355.02,12
108321,2020-06-01,347.58,353.63,353.33,352.25,12
