date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,index_flag,issuer,exercise_style
2020-01-02,2020-01-03,C,150000,88.6,90.65,0,14,,,,,,131443631,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,155000,83.7,85.5,0,0,,,,,,131443632,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,160000,78.6,80.65,0,0,,,,,,131443633,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,165000,73.6,75.65,0,1,,,,,,131443634,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,170000,68.6,70.55,0,1,,,,,,131443635,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,172500,66.2,68.05,0,0,,,,,,131580884,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,175000,64.65,64.95,0,250,,,,,,131443636,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,177500,61.1,63.15,0,0,,,,,,131580885,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,180000,59.65,59.95,101,111,,,,,,131443637,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,182500,56.1,58.05,0,0,,,,,,131580886,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,185000,53.6,55.6,0,3,,,,,,131443638,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,187500,51.1,53.2,0,0,,,,,,131443639,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,190000,49.35,50.25,2,14,,,,,,131443640,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,192500,46.1,48.15,0,0,,,,,,131443641,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,195000,43.65,45.7,0,6,,,,,,131443642,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,197500,41.1,43.2,0,7,,,,,,131443643,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,200000,39.65,39.95,0,197,,,,,,131443644,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,202500,36.1,38.2,0,42,,,,,,131443645,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,205000,33.6,35.65,1,75,,,,,,131443646,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,207500,31.95,32.45,7,42,,,,,,131443647,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,210000,29.65,29.95,30,283,,,,,,131443648,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,212500,26.9,27.6,2,140,,,,,,131443649,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,215000,24.7,24.95,18,813,,,,,,131443650,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,217500,22.2,22.45,0,123,,,,,,131443651,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,220000,19.7,19.95,93,273,,,,,,131443652,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,222500,17.2,17.45,19,245,,,,,,131443653,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,225000,14.75,14.95,76,505,,,,,,131443654,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,227500,12.25,12.45,26,364,,,,,,131443655,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,230000,9.75,9.95,487,1729,,,,,,131443656,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,232500,7.3,7.5,583,2232,,,,,,131443657,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,235000,4.95,5.1,1850,2481,0.269097,0.930336,0.039604,1.681338,-86.05595,131443658,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,237500,2.86,2.9,5067,2303,0.267835,0.767321,0.090858,3.835289,-190.4971,131511737,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,240000,1.3,1.35,9226,4731,0.272275,0.493583,0.116625,5.00946,-250.7044,131443659,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,242500,0.53,0.54,4535,2237,0.29403,0.246085,0.085335,3.95592,-213.2587,131511738,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,245000,0.19,0.2,3010,3345,0.315598,0.103872,0.045532,2.267271,-130.9115,131443660,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,247500,0.09,0.11,303,1036,0.364063,0.052329,0.023403,1.3432,-89.46928,131580887,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,250000,0.05,0.07,357,1729,0.415447,0.029914,0.013023,0.853698,-64.79883,131443661,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,252500,0.02,0.05,142,3183,0.458121,0.017012,0.00734,0.53044,-44.40026,131656241,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,255000,0.01,0.05,123,359,0.521493,0.013203,0.005186,0.427208,-40.64191,131443662,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,257500,0,0.04,315,272,0.563216,0.008547,0.003289,0.291632,-30.05758,131707987,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,260000,0,0.04,8,543,0.630026,0.007727,0.002691,0.267382,-30.76781,131443663,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,262500,0,0.03,0,284,0.673082,0.005602,0.001895,0.201214,-24.73296,131707988,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,265000,0,0.04,51,61,0.759458,0.006531,0.001925,0.230875,-31.96936,131443664,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,267500,0,0.03,500,61,0.79675,0.00481,0.001398,0.175816,-25.55899,131795865,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,270000,0,0.02,30,136,0.822199,0.003224,0.000947,0.122765,-18.43401,131443665,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,272500,0,0.05,0,0,0.968439,0.006433,0.001489,0.227739,-40.21501,131795866,0,NVIDIA CORP,A
2020-01-02,2020-01-03,C,275000,0,0.05,0,34,1.029303,0.00609,0.001335,0.216825,-40.71981,131795867,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,150000,0,0.04,0,4,3.148724,-0.001678,0.000137,0.06802,-39.06715,131443666,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,155000,0,0.01,0,23,2.615544,-0.000557,0.00006,0.024571,-11.77406,131443667,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,160000,0,0.04,0,0,2.745607,-0.001915,0.000177,0.076572,-38.40724,131443668,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,165000,0,0.04,0,26,2.552466,-0.002053,0.000203,0.081545,-38.04408,131443669,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,170000,0,0.04,0,62,2.364378,-0.002209,0.000234,0.08713,-37.65458,131443670,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,172500,0,0.05,0,0,2.322922,-0.002757,0.000291,0.106915,-45.20884,131580888,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,175000,0,0.04,0,69,2.180949,-0.002385,0.000272,0.093471,-37.23497,131443671,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,177500,0,0.05,0,1,2.13813,-0.002983,0.00034,0.114877,-44.66719,131580889,0,NVIDIA CORP,A
2020-01-02,2020-01-03,P,180000,0,0.03,0,63,1.946624,-0.002039,0.000264,0.081069,-28.82752,131443672,0,NVIDIA CORP,A
