date,days,rate
2020-03-16,30,0.621065
2020-04-02,30,0.994857
2020-04-03,30,0.998403
2020-04-06,30,0.933687
2020-04-07,30,0.875178
2020-04-08,30,0.840102
2020-04-09,30,0.825026
2020-04-13,30,0.825026
2020-04-14,30,0.804893
2020-04-15,30,0.760939
2020-04-16,30,0.728008
2020-04-17,30,0.681903
2020-06-08,30,0.17907
2020-06-09,30,0.190475
2020-06-10,30,0.193131
2020-06-11,30,0.187302
2020-06-12,30,0.197824
2020-09-08,30,0.15765
2020-09-09,30,0.153341
2020-09-10,30,0.153219
2020-09-11,30,0.154487
2020-09-14,30,0.154233
2020-09-15,30,0.152581
2020-09-16,30,0.152074
2020-09-17,30,0.15841
2020-09-18,30,0.157903
2020-11-09,30,0.131677
2020-11-10,30,0.142068
2020-11-11,30,0.143335
2020-11-12,30,0.142828
2020-11-13,30,0.138266
2021-04-12,30,0.113804
2021-04-13,30,0.116217
2021-04-14,30,0.11723
2021-04-15,30,0.116592
2021-04-16,30,0.117484
2021-06-07,30,0.082376
2021-06-08,30,0.078067
2021-06-09,30,0.075664
2021-06-10,30,0.073637
2021-06-11,30,0.07389
2021-06-14,30,0.075664
2021-06-15,30,0.082883
2021-06-16,30,0.083643
2021-06-17,30,0.094673
2021-06-18,30,0.09226
2021-09-07,30,0.084282
2021-09-08,30,0.085924
2021-09-09,30,0.083775
2021-09-10,30,0.085042
2021-09-13,30,0.08491
2021-09-14,30,0.085802
2021-09-15,30,0.085295
2021-09-16,30,0.08859
2021-09-17,30,0.084657
2021-11-08,30,0.092392
2021-11-09,30,0.090486
2021-11-10,30,0.090486
2021-11-11,30,0.09074
2021-11-12,30,0.090365
2021-12-08,30,0.515543
2021-12-09,30,0.522179
2021-12-10,30,0.527253
2021-12-13,30,0.529963
2021-12-14,30,0.535141
2021-12-15,30,0.541117
2021-12-16,30,0.546308
2021-12-17,30,0.547113
2021-12-20,30,0.554133
2021-12-21,30,0.559028
2021-12-22,30,0.568933
2021-12-23,30,0.559697
2021-12-27,30,0.560407
2021-12-28,30,0.55458
2021-12-29,30,0.543304
2021-12-30,30,0.540622
2021-12-31,30,0.531094
2022-01-03,30,0.524269
2022-01-04,30,0.517584
2022-01-05,30,0.506105
2022-01-06,30,0.500335
2022-01-07,30,0.490655
2022-01-10,30,0.495915
2022-01-11,30,0.504855
2022-01-12,30,0.508014
2022-01-13,30,0.500806
2022-01-14,30,0.497903
2022-01-18,30,0.499901
2022-01-19,30,0.497426
2022-01-20,30,0.491414
2022-01-21,30,0.497524
2022-01-24,30,0.501972
2022-01-25,30,0.504578
2022-01-26,30,0.519072
2022-01-27,30,0.522825
2022-01-28,30,0.53072
2022-01-31,30,0.531303
2022-02-01,30,0.532424
2022-02-02,30,0.529122
2022-02-03,30,0.532517
2022-02-04,30,0.527972
2022-02-07,30,0.52998
2022-02-08,30,0.523479
2022-02-09,30,0.504201
2022-02-10,30,0.49281
2022-02-11,30,0.47489
2022-02-14,30,0.467133
2022-02-15,30,0.467783
2022-02-16,30,0.469686
2022-02-17,30,0.470997
2022-02-18,30,0.470415
2022-02-22,30,0.47999
2022-02-23,30,0.487411
2022-02-24,30,0.484696
2022-02-25,30,0.481575
2022-02-28,30,0.484152
2022-03-01,30,0.49085
2022-03-02,30,0.489684
2022-03-03,30,0.486921
2022-03-04,30,0.488558
2022-03-07,30,0.488081
2022-03-08,30,0.486426
2022-03-09,30,0.484426
2022-03-10,30,0.480542
2022-03-11,30,0.475012
2022-03-14,30,0.474328
2022-03-15,30,0.47222
2022-03-16,30,0.47696
2022-03-17,30,0.479097
2022-03-18,30,0.479129
2022-03-21,30,0.479276
2022-03-22,30,0.481389
2022-03-23,30,0.480004
2022-03-24,30,0.482094
2022-03-25,30,0.483877
2022-03-28,30,0.485391
2022-03-29,30,0.48823
2022-03-30,30,0.489429
2022-03-31,30,0.492312
2022-04-01,30,0.498975
2022-04-04,30,0.508015
2022-04-05,30,0.507276
2022-04-06,30,0.508451
2022-04-07,30,0.515933
2022-04-08,30,0.521065
2022-04-11,30,0.52485
2022-04-12,30,0.529805
2022-04-13,30,0.532868
2022-04-14,30,0.534662
2022-04-18,30,0.542657
2022-04-19,30,0.556885
2022-04-20,30,0.571204
2022-04-21,30,0.587132
2022-04-22,30,0.591487
2022-04-25,30,0.60316
2022-04-26,30,0.613718
2022-04-27,30,0.624185
2022-04-28,30,0.641412
2022-04-29,30,0.655895
2022-05-02,30,0.672451
2022-05-03,30,0.688294
2022-05-04,30,0.707665
2022-05-05,30,0.722757
2022-05-06,30,0.73543
2022-05-09,30,0.747698
2022-05-10,30,0.763778
2022-05-11,30,0.780515
2022-05-12,30,0.800378
2022-05-13,30,0.82064
2022-05-16,30,0.840302
2022-05-17,30,0.860003
2022-05-18,30,0.875826
2022-05-19,30,0.892798
2022-05-20,30,0.909324
2022-05-23,30,0.923973
2022-05-24,30,0.938149
2022-05-25,30,0.95352
2022-05-26,30,0.970313
2022-05-27,30,0.986513
2022-05-31,30,1.005693
2022-06-01,30,1.023984
2022-06-02,30,1.04098
2022-06-03,30,1.047592
2022-06-06,30,1.054983
2022-06-07,30,1.065778
2022-06-08,30,1.074782
2022-06-09,30,1.072671
2022-06-10,30,1.069497
2022-06-13,30,1.074526
2022-06-14,30,1.08977
2022-06-15,30,1.110519
2022-06-16,30,1.135019
2022-06-17,30,1.146855
2022-06-21,30,1.165655
2022-06-22,30,1.188923
2022-06-23,30,1.218704
2022-06-24,30,1.250238
2022-06-27,30,1.284369
2022-06-28,30,1.314354
2022-06-29,30,1.344599
2022-06-30,30,1.375702
2022-07-01,30,1.40484
2022-07-05,30,1.434063
2022-07-06,30,1.464573
2022-07-07,30,1.495203
2022-07-08,30,1.526711
2022-07-11,30,1.55926
2022-07-12,30,1.588857
2022-07-13,30,1.620506
2022-07-14,30,1.654438
2022-07-15,30,1.687351
2022-07-18,30,1.72149
2022-07-19,30,1.756845
2022-07-20,30,1.790748
2022-07-21,30,1.82616
2022-07-22,30,1.8612
2022-07-25,30,1.897944
2022-07-26,30,1.934838
2022-07-27,30,1.970556
2022-07-28,30,2.009143
2022-07-29,30,2.04658
2022-08-01,30,2.084158
2022-08-02,30,2.115946
2022-08-03,30,2.148632
2022-08-04,30,2.182913
2022-08-05,30,2.210604
2022-08-08,30,2.235578
2022-08-09,30,2.262705
2022-08-10,30,2.291951
2022-08-11,30,2.319504
2022-08-12,30,2.34809
2022-08-15,30,2.375458
2022-08-16,30,2.399779
2022-08-17,30,2.424563
2022-08-18,30,2.454452
2022-08-19,30,2.481231
2022-08-22,30,2.504357
2022-08-23,30,2.522973
2022-08-24,30,2.537866
2022-08-25,30,2.557173
2022-08-26,30,2.566642
2022-08-29,30,2.57424
2022-08-30,30,2.58655
2022-08-31,30,2.604684
2022-09-01,30,2.622549
2022-09-02,30,2.629483
2022-09-06,30,2.641918
2022-09-07,30,2.660289
2022-09-08,30,2.680268
2022-09-09,30,2.692936
2022-09-12,30,2.711042
2022-09-13,30,2.72484
2022-09-14,30,2.742192
2022-09-15,30,2.766682
2022-09-16,30,2.785683
2022-09-19,30,2.807825
2022-09-20,30,2.827064
2022-09-21,30,2.845304
2022-09-22,30,2.862142
2022-09-23,30,2.875816
2022-09-26,30,2.885652
2022-09-27,30,2.902562
2022-09-28,30,2.920532
2022-09-29,30,2.939189
2022-09-30,30,2.952625
2022-10-03,30,2.975864
2022-10-04,30,3.000399
2022-10-05,30,3.02608
2022-10-06,30,3.047651
2022-10-07,30,3.068498
2022-10-10,30,3.0887
2022-10-11,30,3.11119
2022-10-12,30,3.132996
2022-10-13,30,3.156208
2022-10-14,30,3.173916
2022-10-17,30,3.195631
2022-10-18,30,3.211137
2022-10-19,30,3.230949
2022-10-20,30,3.242678
2022-10-21,30,3.259602
2022-10-24,30,3.271699
2022-10-25,30,3.281764
2022-10-26,30,3.28475
2022-10-27,30,3.284418
2022-10-28,30,3.287872
2022-10-31,30,3.288846
2022-11-01,30,3.293781
2022-11-02,30,3.293067
2022-11-03,30,3.300975
2022-11-04,30,3.313085
2022-11-07,30,3.333117
2022-11-08,30,3.347307
2022-11-09,30,3.367689
