date,total_value
2020-01-02,100000.0
2020-01-03,98402.56
2020-01-06,98814.40000000001
2020-01-07,100008.32
2020-01-08,100195.52
2020-01-09,101293.76000000001
2020-01-10,101834.56
2020-01-13,105021.12
2020-01-14,103065.92
2020-01-15,102354.56
2020-01-16,103752.32
2020-01-17,103897.92
2020-01-21,103340.48
2020-01-22,104218.24
2020-01-23,105387.20000000001
2020-01-24,104397.12
2020-01-27,100120.64
2020-01-28,103352.96
2020-01-29,102342.08
2020-01-30,102454.40000000001
2020-01-31,98552.32
2020-02-03,100174.72
2020-02-04,103003.52
2020-02-05,104513.6
2020-02-06,105963.36
2020-02-07,104858.88
2020-02-10,109592.96000000002
2020-02-11,111639.68
2020-02-12,113574.08000000002
2020-02-13,112841.91999999998
2020-02-14,120750.08000000002
2020-02-18,123570.56
2020-02-19,131112.64
2020-02-20,128616.64
2020-02-21,122530.56
2020-02-24,113881.91999999998
2020-02-25,109210.24
2020-02-26,111539.84
2020-02-27,105279.04
2020-02-28,112546.56
2020-03-02,115192.32
2020-03-03,110807.68
2020-03-04,118553.6
2020-03-05,113886.08000000002
2020-03-06,110870.08000000002
2020-03-09,102300.48
2020-03-10,108806.72
2020-03-11,102728.96
2020-03-12,90182.40000000001
2020-03-13,100386.88
2020-03-16,81899.84000000001
2020-03-17,90581.76000000001
2020-03-18,84570.56
2020-03-19,88792.96
2020-03-20,85789.44
2020-03-23,88676.48
2020-03-24,103856.32
2020-03-25,102375.36
2020-03-26,107209.28
2020-03-27,105333.12
2020-03-30,110682.87999999999
2020-03-31,109855.04000000001
2020-04-01,101314.56
2020-04-02,106472.96
2020-04-03,101664.0
2020-04-06,111851.84
2020-04-07,107953.91999999998
2020-04-08,111248.64
2020-04-09,109584.64
2020-04-13,112455.04000000001
2020-04-14,118320.64
2020-04-15,117026.87999999999
2020-04-16,122792.64
2020-04-17,121802.56
2020-04-20,119610.24
2020-04-21,112313.6
2020-04-22,119235.84
2020-04-23,118345.6
2020-04-24,120666.87999999999
2020-04-27,123782.72
2020-04-28,121403.20000000001
2020-04-29,124356.79999999999
2020-04-30,121785.91999999998
2020-05-01,117833.91999999998
2020-05-04,121372.00000000001
2020-05-05,122393.28
2020-05-06,124078.08000000002
2020-05-07,127023.36
2020-05-08,130197.44
2020-05-11,134407.36000000002
2020-05-12,130031.04000000001
2020-05-13,129656.64
2020-05-14,133824.96000000002
2020-05-15,141483.52
2020-05-18,145801.6
2020-05-19,146720.96000000002
2020-05-20,149458.24000000002
2020-05-21,146217.6
2020-05-22,150394.24000000002
2020-05-26,145260.8
2020-05-27,142057.6
2020-05-28,141421.12
2020-05-29,147885.76
2020-06-01,146733.44
2020-06-02,147049.6
2020-06-03,146121.91999999998
2020-06-04,146072.0
2020-06-05,148626.24000000002
2020-06-08,146712.63999999998
2020-06-09,150722.88
2020-06-10,156060.16
2020-06-11,146567.04
2020-06-12,148834.24000000002
2020-06-15,152848.63999999998
2020-06-16,151097.28
2020-06-17,153884.48
2020-06-18,153584.96000000002
2020-06-19,154304.63999999998
2020-06-22,158722.56
2020-06-23,157445.44
2020-06-24,153876.16
2020-06-25,158111.04
2020-06-26,152536.63999999998
2020-06-29,153285.44
2020-06-30,158240.0
2020-07-01,158776.63999999998
2020-07-02,160145.28
2020-07-06,163922.56
2020-07-07,164463.36000000002
2020-07-08,170191.68
2020-07-09,175067.2
2020-07-10,174572.16
2020-07-13,167466.88
2020-07-14,172870.72
2020-07-15,170378.88
2020-07-16,168839.68
2020-07-17,169950.4
2020-07-20,175096.32
2020-07-21,172063.68
2020-07-22,173898.24000000002
2020-07-23,168756.48
2020-07-24,169833.91999999998
2020-07-27,173611.2
2020-07-28,170183.36000000002
2020-07-29,174343.36000000002
2020-07-30,176814.4
2020-07-31,176826.88
2020-08-03,183408.0
2020-08-04,187027.2
2020-08-05,188008.96000000002
2020-08-06,188820.16
2020-08-07,186557.12
2020-08-10,185983.04
2020-08-11,180741.44
2020-08-12,190563.2
2020-08-13,190608.96000000002
2020-08-14,192622.4
2020-08-17,205485.12
2020-08-18,204216.32
2020-08-19,202182.08000000002
2020-08-20,202223.68
2020-08-21,211250.88
2020-08-24,211862.4
2020-08-25,212357.44
2020-08-26,212740.16
2020-08-27,210331.52
2020-08-28,218976.0
2020-08-31,222749.12
2020-09-01,230178.88
2020-09-02,238923.2
2020-09-03,216775.36000000002
2020-09-04,210235.84
2020-09-08,198429.76
2020-09-09,211775.04
2020-09-10,205064.96000000002
2020-09-11,202614.72
2020-09-14,214391.68
2020-09-15,216367.68
2020-09-16,208438.72
2020-09-17,207590.08000000002
2020-09-18,203026.56
2020-09-21,208484.48
2020-09-22,210489.6
2020-09-23,201936.63999999998
2020-09-24,205668.16
2020-09-25,214416.64
2020-09-28,217099.84
2020-09-29,220273.91999999998
2020-09-30,225344.96000000002
2020-10-01,226742.72000000003
2020-10-02,217553.28
2020-10-05,227208.64
2020-10-06,228772.80000000002
2020-10-07,232558.39999999997
2020-10-08,230474.24
2020-10-09,229209.6
2020-10-12,236918.08
2020-10-13,237288.31999999998
2020-10-14,234742.39999999997
2020-10-15,232658.24
2020-10-16,230020.80000000002
2020-10-19,224800.0
2020-10-20,227258.56000000003
2020-10-21,225249.28
2020-10-22,222524.48000000004
2020-10-23,226339.2
2020-10-26,218867.84
2020-10-27,223119.36000000002
2020-10-28,210310.72
2020-10-29,216916.80000000002
2020-10-30,208763.2
2020-11-02,209541.12
2020-11-03,216841.91999999998
2020-11-04,229733.76
2020-11-05,235819.84
2020-11-06,242509.12
2020-11-09,227013.12
2020-11-10,212690.24000000002
2020-11-11,223472.96000000002
2020-11-12,224117.76
2020-11-13,221459.52
2020-11-16,225091.2
2020-11-17,223543.68
2020-11-18,223651.84
2020-11-19,223843.2
2020-11-20,217977.6
2020-11-23,218847.04
2020-11-24,215814.39999999997
2020-11-25,220423.68
2020-11-27,220864.64
2020-11-30,223198.39999999997
2020-12-01,223007.04
2020-12-02,225577.91999999998
2020-12-03,223106.88
2020-12-04,225806.72000000003
2020-12-07,226613.76
2020-12-08,222341.44
2020-12-09,215365.12
2020-12-10,216055.68
2020-12-11,216737.91999999998
2020-12-14,221655.04
2020-12-15,222516.15999999997
2020-12-16,220552.64
2020-12-17,222195.84
2020-12-18,221043.52
2020-12-21,222046.08
2020-12-22,221147.52
2020-12-23,216671.36000000002
2020-12-24,216413.44
2020-12-28,214853.44
2020-12-29,215573.12
