entry_date,put_strike,total_premiums,legs,exit_date,exit_type,exit_price,pnl
2020-01-02,230.0,414.3500095367432,"[{'type': 'P', 'entry_date': Timestamp('2020-01-02 00:00:00'), 'exit_date': Timestamp('2020-01-31 00:00:00'), 'strike': 230.0, 'exdate': Timestamp('2020-01-31 00:00:00'), 'delta': -0.2973029911518097, 'dte': 29, 'mid_price': 4.150000095367432, 'premium': 414.3500095367432, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-01-31,PUT_EXPIRED,,414.3500095367432
2020-01-31,222.5,669.3499809265137,"[{'type': 'P', 'entry_date': Timestamp('2020-01-31 00:00:00'), 'exit_date': Timestamp('2020-02-28 00:00:00'), 'strike': 222.5, 'exdate': Timestamp('2020-02-28 00:00:00'), 'delta': -0.30261799693107605, 'dte': 28, 'mid_price': 6.699999809265137, 'premium': 669.3499809265137, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-02-28,PUT_EXPIRED,,669.3499809265137
2020-02-28,242.5,1336.85,"[{'type': 'P', 'entry_date': Timestamp('2020-02-28 00:00:00'), 'exit_date': Timestamp('2020-04-03 00:00:00'), 'strike': 242.5, 'exdate': Timestamp('2020-04-03 00:00:00'), 'delta': -0.2960219979286194, 'dte': 35, 'mid_price': 13.375, 'premium': 1336.85, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-04-03,PUT_EXPIRED,,1336.85
2020-04-03,225.0,1061.85,"[{'type': 'P', 'entry_date': Timestamp('2020-04-03 00:00:00'), 'exit_date': Timestamp('2020-05-01 00:00:00'), 'strike': 225.0, 'exdate': Timestamp('2020-05-01 00:00:00'), 'delta': -0.3074750006198883, 'dte': 28, 'mid_price': 10.625, 'premium': 1061.85, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-05-01,PUT_EXPIRED,,1061.85
2020-05-01,260.0,1181.8500762939452,"[{'type': 'P', 'entry_date': Timestamp('2020-05-01 00:00:00'), 'exit_date': Timestamp('2020-06-05 00:00:00'), 'strike': 260.0, 'exdate': Timestamp('2020-06-05 00:00:00'), 'delta': -0.30110400915145874, 'dte': 35, 'mid_price': 11.825000762939453, 'premium': 1181.8500762939452, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-06-05,PUT_EXPIRED,,1181.8500762939452
2020-06-05,337.5,801.8499618530274,"[{'type': 'P', 'entry_date': Timestamp('2020-06-05 00:00:00'), 'exit_date': Timestamp('2020-07-02 00:00:00'), 'strike': 337.5, 'exdate': Timestamp('2020-07-02 00:00:00'), 'delta': -0.29337799549102783, 'dte': 27, 'mid_price': 8.024999618530273, 'premium': 801.8499618530274, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-07-02,PUT_EXPIRED,,801.8499618530274
2020-07-02,365.0,856.8499809265137,"[{'type': 'P', 'entry_date': Timestamp('2020-07-02 00:00:00'), 'exit_date': Timestamp('2020-07-31 00:00:00'), 'strike': 365.0, 'exdate': Timestamp('2020-07-31 00:00:00'), 'delta': -0.30273500084877014, 'dte': 29, 'mid_price': 8.574999809265137, 'premium': 856.8499809265137, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-07-31,PUT_EXPIRED,,856.8499809265137
2020-07-31,395.0,1459.3500381469726,"[{'type': 'P', 'entry_date': Timestamp('2020-07-31 00:00:00'), 'exit_date': Timestamp('2020-09-04 00:00:00'), 'strike': 395.0, 'exdate': Timestamp('2020-09-04 00:00:00'), 'delta': -0.302619993686676, 'dte': 35, 'mid_price': 14.600000381469727, 'premium': 1459.3500381469726, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-09-04,PUT_EXPIRED,,1459.3500381469726
2020-09-04,467.5,1876.8499618530273,"[{'type': 'P', 'entry_date': Timestamp('2020-09-04 00:00:00'), 'exit_date': Timestamp('2020-10-02 00:00:00'), 'strike': 467.5, 'exdate': Timestamp('2020-10-02 00:00:00'), 'delta': -0.30033600330352783, 'dte': 28, 'mid_price': 18.774999618530273, 'premium': 1876.8499618530273, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-10-02,PUT_EXPIRED,,1876.8499618530273
2020-10-02,485.0,1809.3500381469726,"[{'type': 'P', 'entry_date': Timestamp('2020-10-02 00:00:00'), 'exit_date': Timestamp('2020-11-06 00:00:00'), 'strike': 485.0, 'exdate': Timestamp('2020-11-06 00:00:00'), 'delta': -0.2984040081501007, 'dte': 35, 'mid_price': 18.100000381469727, 'premium': 1809.3500381469726, 'outcome': 'EXPIRED_WORTHLESS'}]",2020-11-06,PUT_EXPIRED,,1809.3500381469726
