date,total_value,cash,shares,stock_close,state
2020-01-02,100414.35000953675,100414.35000953675,0,239.91,WAITING_PUT_EXPIRY
2020-01-03,100414.35000953675,100414.35000953675,0,236.07,WAITING_PUT_EXPIRY
2020-01-06,100414.35000953675,100414.35000953675,0,237.06,WAITING_PUT_EXPIRY
2020-01-07,100414.35000953675,100414.35000953675,0,239.93,WAITING_PUT_EXPIRY
2020-01-08,100414.35000953675,100414.35000953675,0,240.38,WAITING_PUT_EXPIRY
2020-01-09,100414.35000953675,100414.35000953675,0,243.02,WAITING_PUT_EXPIRY
2020-01-10,100414.35000953675,100414.35000953675,0,244.32,WAITING_PUT_EXPIRY
2020-01-13,100414.35000953675,100414.35000953675,0,251.98,WAITING_PUT_EXPIRY
2020-01-14,100414.35000953675,100414.35000953675,0,247.28,WAITING_PUT_EXPIRY
2020-01-15,100414.35000953675,100414.35000953675,0,245.57,WAITING_PUT_EXPIRY
2020-01-16,100414.35000953675,100414.35000953675,0,248.93,WAITING_PUT_EXPIRY
2020-01-17,100414.35000953675,100414.35000953675,0,249.28,WAITING_PUT_EXPIRY
2020-01-21,100414.35000953675,100414.35000953675,0,247.94,WAITING_PUT_EXPIRY
2020-01-22,100414.35000953675,100414.35000953675,0,250.05,WAITING_PUT_EXPIRY
2020-01-23,100414.35000953675,100414.35000953675,0,252.86,WAITING_PUT_EXPIRY
2020-01-24,100414.35000953675,100414.35000953675,0,250.48,WAITING_PUT_EXPIRY
2020-01-27,100414.35000953675,100414.35000953675,0,240.2,WAITING_PUT_EXPIRY
2020-01-28,100414.35000953675,100414.35000953675,0,247.97,WAITING_PUT_EXPIRY
2020-01-29,100414.35000953675,100414.35000953675,0,245.54,WAITING_PUT_EXPIRY
2020-01-30,100414.35000953675,100414.35000953675,0,245.81,WAITING_PUT_EXPIRY
2020-01-31,101083.69999046327,101083.69999046327,0,236.43,WAITING_PUT_EXPIRY
2020-02-03,101083.69999046327,101083.69999046327,0,240.33,WAITING_PUT_EXPIRY
2020-02-04,101083.69999046327,101083.69999046327,0,247.13,WAITING_PUT_EXPIRY
2020-02-05,101083.69999046327,101083.69999046327,0,250.76,WAITING_PUT_EXPIRY
2020-02-06,101083.69999046327,101083.69999046327,0,254.245,WAITING_PUT_EXPIRY
2020-02-07,101083.69999046327,101083.69999046327,0,251.59,WAITING_PUT_EXPIRY
2020-02-10,101083.69999046327,101083.69999046327,0,262.97,WAITING_PUT_EXPIRY
2020-02-11,101083.69999046327,101083.69999046327,0,267.89,WAITING_PUT_EXPIRY
2020-02-12,101083.69999046327,101083.69999046327,0,272.54,WAITING_PUT_EXPIRY
2020-02-13,101083.69999046327,101083.69999046327,0,270.78,WAITING_PUT_EXPIRY
2020-02-14,101083.69999046327,101083.69999046327,0,289.79,WAITING_PUT_EXPIRY
2020-02-18,101083.69999046327,101083.69999046327,0,296.57,WAITING_PUT_EXPIRY
2020-02-19,101083.69999046327,101083.69999046327,0,314.7,WAITING_PUT_EXPIRY
2020-02-20,101083.69999046327,101083.69999046327,0,308.7,WAITING_PUT_EXPIRY
2020-02-21,101083.69999046327,101083.69999046327,0,294.07,WAITING_PUT_EXPIRY
2020-02-24,101083.69999046327,101083.69999046327,0,273.28,WAITING_PUT_EXPIRY
2020-02-25,101083.69999046327,101083.69999046327,0,262.05,WAITING_PUT_EXPIRY
2020-02-26,101083.69999046327,101083.69999046327,0,267.65,WAITING_PUT_EXPIRY
2020-02-27,101083.69999046327,101083.69999046327,0,252.6,WAITING_PUT_EXPIRY
2020-02-28,102420.54999046327,102420.54999046327,0,270.07,WAITING_PUT_EXPIRY
2020-03-02,102420.54999046327,102420.54999046327,0,276.43,WAITING_PUT_EXPIRY
2020-03-03,102420.54999046327,102420.54999046327,0,265.89,WAITING_PUT_EXPIRY
2020-03-04,102420.54999046327,102420.54999046327,0,284.51,WAITING_PUT_EXPIRY
2020-03-05,102420.54999046327,102420.54999046327,0,273.29,WAITING_PUT_EXPIRY
2020-03-06,102420.54999046327,102420.54999046327,0,266.04,WAITING_PUT_EXPIRY
2020-03-09,102420.54999046327,102420.54999046327,0,245.44,WAITING_PUT_EXPIRY
2020-03-10,102420.54999046327,102420.54999046327,0,261.08,WAITING_PUT_EXPIRY
2020-03-11,102420.54999046327,102420.54999046327,0,246.47,WAITING_PUT_EXPIRY
2020-03-12,102420.54999046327,102420.54999046327,0,216.31,WAITING_PUT_EXPIRY
2020-03-13,102420.54999046327,102420.54999046327,0,240.84,WAITING_PUT_EXPIRY
2020-03-16,102420.54999046327,102420.54999046327,0,196.4,WAITING_PUT_EXPIRY
2020-03-17,102420.54999046327,102420.54999046327,0,217.27,WAITING_PUT_EXPIRY
2020-03-18,102420.54999046327,102420.54999046327,0,202.82,WAITING_PUT_EXPIRY
2020-03-19,102420.54999046327,102420.54999046327,0,212.97,WAITING_PUT_EXPIRY
2020-03-20,102420.54999046327,102420.54999046327,0,205.75,WAITING_PUT_EXPIRY
2020-03-23,102420.54999046327,102420.54999046327,0,212.69,WAITING_PUT_EXPIRY
2020-03-24,102420.54999046327,102420.54999046327,0,249.18,WAITING_PUT_EXPIRY
2020-03-25,102420.54999046327,102420.54999046327,0,245.62,WAITING_PUT_EXPIRY
2020-03-26,102420.54999046327,102420.54999046327,0,257.24,WAITING_PUT_EXPIRY
2020-03-27,102420.54999046327,102420.54999046327,0,252.73,WAITING_PUT_EXPIRY
2020-03-30,102420.54999046327,102420.54999046327,0,265.59,WAITING_PUT_EXPIRY
2020-03-31,102420.54999046327,102420.54999046327,0,263.6,WAITING_PUT_EXPIRY
2020-04-01,102420.54999046327,102420.54999046327,0,243.07,WAITING_PUT_EXPIRY
2020-04-02,102420.54999046327,102420.54999046327,0,255.47,WAITING_PUT_EXPIRY
2020-04-03,103482.39999046328,103482.39999046328,0,243.91,WAITING_PUT_EXPIRY
2020-04-06,103482.39999046328,103482.39999046328,0,268.4,WAITING_PUT_EXPIRY
2020-04-07,103482.39999046328,103482.39999046328,0,259.03,WAITING_PUT_EXPIRY
2020-04-08,103482.39999046328,103482.39999046328,0,266.95,WAITING_PUT_EXPIRY
2020-04-09,103482.39999046328,103482.39999046328,0,262.95,WAITING_PUT_EXPIRY
2020-04-13,103482.39999046328,103482.39999046328,0,269.85,WAITING_PUT_EXPIRY
2020-04-14,103482.39999046328,103482.39999046328,0,283.95,WAITING_PUT_EXPIRY
2020-04-15,103482.39999046328,103482.39999046328,0,280.84,WAITING_PUT_EXPIRY
2020-04-16,103482.39999046328,103482.39999046328,0,294.7,WAITING_PUT_EXPIRY
2020-04-17,103482.39999046328,103482.39999046328,0,292.32,WAITING_PUT_EXPIRY
2020-04-20,103482.39999046328,103482.39999046328,0,287.05,WAITING_PUT_EXPIRY
2020-04-21,103482.39999046328,103482.39999046328,0,269.51,WAITING_PUT_EXPIRY
2020-04-22,103482.39999046328,103482.39999046328,0,286.15,WAITING_PUT_EXPIRY
2020-04-23,103482.39999046328,103482.39999046328,0,284.01,WAITING_PUT_EXPIRY
2020-04-24,103482.39999046328,103482.39999046328,0,289.59,WAITING_PUT_EXPIRY
2020-04-27,103482.39999046328,103482.39999046328,0,297.08,WAITING_PUT_EXPIRY
2020-04-28,103482.39999046328,103482.39999046328,0,291.36,WAITING_PUT_EXPIRY
2020-04-29,103482.39999046328,103482.39999046328,0,298.46,WAITING_PUT_EXPIRY
2020-04-30,103482.39999046328,103482.39999046328,0,292.28,WAITING_PUT_EXPIRY
2020-05-01,104664.25006675723,104664.25006675723,0,282.78,WAITING_PUT_EXPIRY
2020-05-04,104664.25006675723,104664.25006675723,0,291.285,WAITING_PUT_EXPIRY
2020-05-05,104664.25006675723,104664.25006675723,0,293.74,WAITING_PUT_EXPIRY
2020-05-06,104664.25006675723,104664.25006675723,0,297.79,WAITING_PUT_EXPIRY
2020-05-07,104664.25006675723,104664.25006675723,0,304.87,WAITING_PUT_EXPIRY
2020-05-08,104664.25006675723,104664.25006675723,0,312.5,WAITING_PUT_EXPIRY
2020-05-11,104664.25006675723,104664.25006675723,0,322.62,WAITING_PUT_EXPIRY
2020-05-12,104664.25006675723,104664.25006675723,0,312.1,WAITING_PUT_EXPIRY
2020-05-13,104664.25006675723,104664.25006675723,0,311.2,WAITING_PUT_EXPIRY
2020-05-14,104664.25006675723,104664.25006675723,0,321.22,WAITING_PUT_EXPIRY
2020-05-15,104664.25006675723,104664.25006675723,0,339.63,WAITING_PUT_EXPIRY
2020-05-18,104664.25006675723,104664.25006675723,0,350.01,WAITING_PUT_EXPIRY
2020-05-19,104664.25006675723,104664.25006675723,0,352.22,WAITING_PUT_EXPIRY
2020-05-20,104664.25006675723,104664.25006675723,0,358.8,WAITING_PUT_EXPIRY
2020-05-21,104664.25006675723,104664.25006675723,0,351.01,WAITING_PUT_EXPIRY
2020-05-22,104664.25006675723,104664.25006675723,0,361.05,WAITING_PUT_EXPIRY
2020-05-26,104664.25006675723,104664.25006675723,0,348.71,WAITING_PUT_EXPIRY
2020-05-27,104664.25006675723,104664.25006675723,0,341.01,WAITING_PUT_EXPIRY
2020-05-28,104664.25006675723,104664.25006675723,0,339.48,WAITING_PUT_EXPIRY
2020-05-29,104664.25006675723,104664.25006675723,0,355.02,WAITING_PUT_EXPIRY
2020-06-01,104664.25006675723,104664.25006675723,0,352.25,WAITING_PUT_EXPIRY
2020-06-02,104664.25006675723,104664.25006675723,0,353.01,WAITING_PUT_EXPIRY
2020-06-03,104664.25006675723,104664.25006675723,0,350.78,WAITING_PUT_EXPIRY
2020-06-04,104664.25006675723,104664.25006675723,0,350.66,WAITING_PUT_EXPIRY
2020-06-05,105466.10002861026,105466.10002861026,0,356.8,WAITING_PUT_EXPIRY
2020-06-08,105466.10002861026,105466.10002861026,0,352.2,WAITING_PUT_EXPIRY
2020-06-09,105466.10002861026,105466.10002861026,0,361.84,WAITING_PUT_EXPIRY
2020-06-10,105466.10002861026,105466.10002861026,0,374.67,WAITING_PUT_EXPIRY
2020-06-11,105466.10002861026,105466.10002861026,0,351.85,WAITING_PUT_EXPIRY
2020-06-12,105466.10002861026,105466.10002861026,0,357.3,WAITING_PUT_EXPIRY
2020-06-15,105466.10002861026,105466.10002861026,0,366.95,WAITING_PUT_EXPIRY
2020-06-16,105466.10002861026,105466.10002861026,0,362.74,WAITING_PUT_EXPIRY
2020-06-17,105466.10002861026,105466.10002861026,0,369.44,WAITING_PUT_EXPIRY
2020-06-18,105466.10002861026,105466.10002861026,0,368.72,WAITING_PUT_EXPIRY
2020-06-19,105466.10002861026,105466.10002861026,0,370.45,WAITING_PUT_EXPIRY
2020-06-22,105466.10002861026,105466.10002861026,0,381.07,WAITING_PUT_EXPIRY
2020-06-23,105466.10002861026,105466.10002861026,0,378.0,WAITING_PUT_EXPIRY
2020-06-24,105466.10002861026,105466.10002861026,0,369.42,WAITING_PUT_EXPIRY
2020-06-25,105466.10002861026,105466.10002861026,0,379.6,WAITING_PUT_EXPIRY
2020-06-26,105466.10002861026,105466.10002861026,0,366.2,WAITING_PUT_EXPIRY
2020-06-29,105466.10002861026,105466.10002861026,0,368.0,WAITING_PUT_EXPIRY
